
Overlap Results

Collection(s):	GO
# overlaps shown:	100
# genesets in collections:	10747
# genes in comparison (n):	322
# genes in universe (N):	46395

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
73420	Ccsap	centriole, cilia and spindle associated protein [Source:MGI Symbol;Acc:MGI:1920670]			GOCC_NEURON_PROJECTION				GOCC_AXON																																						GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT																																																							
19739	Rgs9	regulator of G-protein signaling 9 [Source:MGI Symbol;Acc:MGI:1338824]			GOCC_NEURON_PROJECTION								GOBP_REGULATION_OF_TRANSPORT					GOCC_PRESYNAPSE			GOBP_MONOATOMIC_ION_TRANSPORT											GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT		GOCC_SYNAPTIC_MEMBRANE					GOCC_PLASMA_MEMBRANE_REGION		GOBP_TRANSMEMBRANE_TRANSPORT	GOBP_EXPORT_FROM_CELL						GOBP_MONOATOMIC_CATION_TRANSPORT					GOCC_POSTSYNAPTIC_MEMBRANE		GOBP_METAL_ION_TRANSPORT		GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS				GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT												GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY									GOCC_POSTSYNAPSE	GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT				GOBP_RESPONSE_TO_NITROGEN_COMPOUND	GOBP_RESPONSE_TO_ABIOTIC_STIMULUS		GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION			GOCC_PRESYNAPTIC_MEMBRANE									
19065	Npy4r	neuropeptide Y receptor Y4 [Source:MGI Symbol;Acc:MGI:105374]			GOCC_NEURON_PROJECTION														GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY																																	GOMF_PEPTIDE_RECEPTOR_ACTIVITY																																																		
226304	Npbwr1	neuropeptides B/W receptor 1 [Source:MGI Symbol;Acc:MGI:891989]			GOCC_NEURON_PROJECTION														GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY																																	GOMF_PEPTIDE_RECEPTOR_ACTIVITY																																																		
11604	Agrp	agouti related neuropeptide [Source:MGI Symbol;Acc:MGI:892013]				GOCC_SOMATODENDRITIC_COMPARTMENT	GOBP_BEHAVIOR	GOCC_EXTRACELLULAR_SPACE			GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOCC_CELL_BODY		GOMF_SIGNALING_RECEPTOR_BINDING					GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY				GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY						GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY		GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS												GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING								GOBP_FEEDING_BEHAVIOR						GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS					GOBP_REGULATION_OF_BEHAVIOR		GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY									GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY						GOMF_HORMONE_ACTIVITY								GOBP_RESPONSE_TO_NITROGEN_COMPOUND	GOBP_RESPONSE_TO_ABIOTIC_STIMULUS		GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION						GOBP_RHYTHMIC_PROCESS						
11846	Arg1	arginase, liver [Source:MGI Symbol;Acc:MGI:88070]				GOCC_SOMATODENDRITIC_COMPARTMENT		GOCC_EXTRACELLULAR_SPACE				GOCC_CELL_BODY	GOBP_REGULATION_OF_TRANSPORT		GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION										GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS																GOBP_TRANSMEMBRANE_TRANSPORT																GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS														GOBP_CELL_ADHESION					GOBP_AMINO_ACID_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION									GOBP_AMINE_TRANSPORT				GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION				GOBP_EPITHELIAL_CELL_PROLIFERATION								
20604	Sst	somatostatin [Source:MGI Symbol;Acc:MGI:98326]				GOCC_SOMATODENDRITIC_COMPARTMENT		GOCC_EXTRACELLULAR_SPACE				GOCC_CELL_BODY		GOMF_SIGNALING_RECEPTOR_BINDING															GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY	GOBP_CELL_MIGRATION	GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS					GOBP_CELL_MOTILITY																											GOBP_LOCOMOTION										GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY						GOMF_HORMONE_ACTIVITY	GOBP_REGULATION_OF_LOCOMOTION	GOCC_SECRETORY_VESICLE							GOBP_RESPONSE_TO_ABIOTIC_STIMULUS									GOCC_GABA_ERGIC_SYNAPSE					
18573	Pde1a	phosphodiesterase 1A, calmodulin-dependent [Source:MGI Symbol;Acc:MGI:1201792]				GOCC_SOMATODENDRITIC_COMPARTMENT						GOCC_CELL_BODY			GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION																									GOBP_INTRACELLULAR_SIGNALING_CASSETTE																	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS																																	GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION												
16819	Lcn2	lipocalin 2 [Source:MGI Symbol;Acc:MGI:96757]					GOBP_BEHAVIOR	GOCC_EXTRACELLULAR_SPACE			GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_REGULATION_OF_TRANSPORT								GOBP_MONOATOMIC_ION_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS		GOBP_COGNITION						GOBP_CELL_MIGRATION	GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT				GOBP_CELL_MOTILITY					GOBP_TRANSMEMBRANE_TRANSPORT							GOBP_MONOATOMIC_CATION_TRANSPORT							GOBP_METAL_ION_TRANSPORT					GOBP_TUBE_DEVELOPMENT	GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT		GOBP_LOCOMOTION											GOBP_POSITIVE_REGULATION_OF_TRANSPORT						GOBP_REGULATION_OF_LOCOMOTION			GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT				GOBP_RESPONSE_TO_NITROGEN_COMPOUND	GOBP_RESPONSE_TO_ABIOTIC_STIMULUS														
12854	Cort	cortistatin [Source:MGI Symbol;Acc:MGI:109538]					GOBP_BEHAVIOR	GOCC_EXTRACELLULAR_SPACE						GOMF_SIGNALING_RECEPTOR_BINDING					GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY				GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY						GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY	GOBP_CELL_MIGRATION						GOBP_CELL_MOTILITY							GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING																			GOBP_REGULATION_OF_BEHAVIOR	GOBP_LOCOMOTION										GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY						GOMF_HORMONE_ACTIVITY	GOBP_REGULATION_OF_LOCOMOTION																GOBP_RHYTHMIC_PROCESS						
217212	Pyy	peptide YY [Source:MGI Symbol;Acc:MGI:99924]					GOBP_BEHAVIOR	GOCC_EXTRACELLULAR_SPACE						GOMF_SIGNALING_RECEPTOR_BINDING					GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY										GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY														GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING								GOBP_FEEDING_BEHAVIOR						GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS																GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY						GOMF_HORMONE_ACTIVITY																							
18124	Nr4a3	nuclear receptor subfamily 4, group A, member 3 [Source:MGI Symbol;Acc:MGI:1352457]					GOBP_BEHAVIOR				GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_REGULATION_OF_TRANSPORT		GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION		GOBP_GENERATION_OF_NEURONS			GOBP_REGULATION_OF_SYSTEM_PROCESS						GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT				GOBP_CELL_MIGRATION	GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS					GOBP_CELL_MOTILITY		GOBP_SECRETION			GOBP_TRANSMEMBRANE_TRANSPORT	GOBP_EXPORT_FROM_CELL		GOBP_HEAD_DEVELOPMENT							GOBP_FEEDING_BEHAVIOR					GOBP_ANIMAL_ORGAN_MORPHOGENESIS	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	GOBP_MUSCLE_SYSTEM_PROCESS		GOBP_TUBE_DEVELOPMENT		GOBP_REGULATION_OF_BEHAVIOR	GOBP_LOCOMOTION								GOBP_CELL_ADHESION	GOBP_NEURON_DEVELOPMENT		GOBP_POSITIVE_REGULATION_OF_TRANSPORT			GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION			GOBP_REGULATION_OF_LOCOMOTION				GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS			GOBP_RESPONSE_TO_NITROGEN_COMPOUND							GOBP_EPITHELIAL_CELL_PROLIFERATION	GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY					GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
11556	Adrb3	adrenergic receptor, beta 3 [Source:MGI Symbol;Acc:MGI:87939]					GOBP_BEHAVIOR				GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS			GOMF_SIGNALING_RECEPTOR_BINDING						GOBP_REGULATION_OF_SYSTEM_PROCESS			GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS								GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION							GOBP_INTRACELLULAR_SIGNALING_CASSETTE			GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING		GOBP_CIRCULATORY_SYSTEM_PROCESS					GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	GOBP_FEEDING_BEHAVIOR							GOBP_MUSCLE_SYSTEM_PROCESS						GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION		GOBP_REGULATION_OF_BLOOD_PRESSURE		GOBP_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE								GOBP_REGULATION_OF_TUBE_SIZE										GOBP_RESPONSE_TO_ABIOTIC_STIMULUS			GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	GOBP_MUSCLE_CONTRACTION							GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE			GOBP_DEVELOPMENTAL_GROWTH
12444	Ccnd2	cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]					GOBP_BEHAVIOR				GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS				GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION							GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS		GOBP_COGNITION	GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT										GOBP_REGULATION_OF_CELL_DIFFERENTIATION										GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT			GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS																							GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY				GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION											GOBP_RESPONSE_TO_ABIOTIC_STIMULUS	GOBP_HEART_DEVELOPMENT					GOBP_EPITHELIAL_CELL_PROLIFERATION								GOBP_DEVELOPMENTAL_GROWTH
433292	Nms	neuromedin S [Source:MGI Symbol;Acc:MGI:3583618]					GOBP_BEHAVIOR							GOMF_SIGNALING_RECEPTOR_BINDING					GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY																								GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING																																																					GOBP_RHYTHMIC_PROCESS						
244958	Mrap2	melanocortin 2 receptor accessory protein 2 [Source:MGI Symbol;Acc:MGI:3609239]					GOBP_BEHAVIOR							GOMF_SIGNALING_RECEPTOR_BINDING									GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY						GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY				GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION										GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING								GOBP_FEEDING_BEHAVIOR						GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS							GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY																										GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION												
54713	Fezf2	Fez family zinc finger 2 [Source:MGI Symbol;Acc:MGI:1859823]					GOBP_BEHAVIOR								GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION		GOBP_GENERATION_OF_NEURONS					GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS				GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT				GOBP_CELL_MIGRATION						GOBP_CELL_MOTILITY	GOBP_REGULATION_OF_CELL_DIFFERENTIATION							GOBP_HEAD_DEVELOPMENT		GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT			GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS													GOBP_LOCOMOTION									GOBP_NEURON_DEVELOPMENT								GOBP_REGULATION_OF_LOCOMOTION																				GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
114142	Foxp2	forkhead box P2 [Source:MGI Symbol;Acc:MGI:2148705]					GOBP_BEHAVIOR								GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION		GOBP_GENERATION_OF_NEURONS							GOBP_COGNITION		GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT																		GOBP_HEAD_DEVELOPMENT												GOBP_ANIMAL_ORGAN_MORPHOGENESIS				GOBP_TUBE_DEVELOPMENT																	GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION							GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS				GOBP_RESPONSE_TO_ABIOTIC_STIMULUS						GOBP_EPITHELIAL_CELL_PROLIFERATION						GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
18516	Pbx3	pre B cell leukemia homeobox 3 [Source:MGI Symbol;Acc:MGI:97496]					GOBP_BEHAVIOR										GOBP_GENERATION_OF_NEURONS			GOBP_REGULATION_OF_SYSTEM_PROCESS						GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT																		GOBP_HEAD_DEVELOPMENT												GOBP_ANIMAL_ORGAN_MORPHOGENESIS																GOBP_NEURON_DEVELOPMENT																												GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
76574	Mfsd2a	MFSD2 lysolipid transporter A, lysophospholipid [Source:MGI Symbol;Acc:MGI:1923824]					GOBP_BEHAVIOR										GOBP_GENERATION_OF_NEURONS							GOBP_COGNITION		GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT															GOBP_TRANSMEMBRANE_TRANSPORT			GOBP_HEAD_DEVELOPMENT	GOBP_CIRCULATORY_SYSTEM_PROCESS											GOBP_ANIMAL_ORGAN_MORPHOGENESIS																GOBP_NEURON_DEVELOPMENT			GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM											GOBP_DEVELOPMENTAL_GROWTH
21375	Tbr1	T-box brain transcription factor 1 [Source:MGI Symbol;Acc:MGI:107404]					GOBP_BEHAVIOR										GOBP_GENERATION_OF_NEURONS							GOBP_COGNITION		GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT																		GOBP_HEAD_DEVELOPMENT							GOBP_FEEDING_BEHAVIOR					GOBP_ANIMAL_ORGAN_MORPHOGENESIS							GOBP_LOCOMOTION									GOBP_NEURON_DEVELOPMENT								GOBP_REGULATION_OF_LOCOMOTION				GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS																GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
13798	En1	engrailed 1 [Source:MGI Symbol;Acc:MGI:95389]					GOBP_BEHAVIOR										GOBP_GENERATION_OF_NEURONS							GOBP_COGNITION		GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT																		GOBP_HEAD_DEVELOPMENT							GOBP_FEEDING_BEHAVIOR									GOBP_TUBE_DEVELOPMENT												GOBP_NEURON_DEVELOPMENT															GOBP_RESPONSE_TO_NITROGEN_COMPOUND													GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		GOBP_DEVELOPMENTAL_GROWTH
16875	Lhx8	LIM homeobox protein 8 [Source:MGI Symbol;Acc:MGI:1096343]					GOBP_BEHAVIOR										GOBP_GENERATION_OF_NEURONS							GOBP_COGNITION		GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT																		GOBP_HEAD_DEVELOPMENT												GOBP_ANIMAL_ORGAN_MORPHOGENESIS																GOBP_NEURON_DEVELOPMENT																														
14009	Etv1	ets variant 1 [Source:MGI Symbol;Acc:MGI:99254]					GOBP_BEHAVIOR										GOBP_GENERATION_OF_NEURONS																																																							GOBP_NEURON_DEVELOPMENT																GOBP_RESPONSE_TO_ABIOTIC_STIMULUS												GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING		
268890	Lsamp	limbic system-associated membrane protein [Source:MGI Symbol;Acc:MGI:1261760]					GOBP_BEHAVIOR											GOCC_PRESYNAPSE																GOCC_SYNAPTIC_MEMBRANE					GOCC_PLASMA_MEMBRANE_REGION														GOCC_POSTSYNAPTIC_MEMBRANE																		GOBP_CELL_ADHESION											GOCC_POSTSYNAPSE											GOCC_PRESYNAPTIC_MEMBRANE									
387285	Hcrtr2	hypocretin (orexin) receptor 2 [Source:MGI Symbol;Acc:MGI:2680765]					GOBP_BEHAVIOR												GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY												GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS																				GOBP_FEEDING_BEHAVIOR	GOMF_PEPTIDE_RECEPTOR_ACTIVITY										GOBP_REGULATION_OF_BEHAVIOR	GOBP_LOCOMOTION																																	GOBP_RHYTHMIC_PROCESS						
16149	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated) [Source:MGI Symbol;Acc:MGI:96534]						GOCC_EXTRACELLULAR_SPACE			GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_REGULATION_OF_TRANSPORT	GOMF_SIGNALING_RECEPTOR_BINDING	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION							GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS			GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS					GOBP_CELL_MIGRATION			GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION			GOBP_CELL_MOTILITY	GOBP_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_SECRETION		GOBP_INTRACELLULAR_SIGNALING_CASSETTE						GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT		GOBP_REGULATION_OF_SECRETION	GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS							GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS						GOBP_LOCOMOTION			GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION			GOCC_CELL_SURFACE		GOBP_CELL_ADHESION						GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION			GOBP_REGULATION_OF_LOCOMOTION										GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION												
22402	Ccn4	cellular communication network factor 4 [Source:MGI Symbol;Acc:MGI:1197008]						GOCC_EXTRACELLULAR_SPACE			GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS			GOMF_SIGNALING_RECEPTOR_BINDING	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION					GOBP_REGULATION_OF_SYSTEM_PROCESS		GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS			GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT			GOBP_CELL_MIGRATION			GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION			GOBP_CELL_MOTILITY	GOBP_REGULATION_OF_CELL_DIFFERENTIATION									GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT			GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS				GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE				GOBP_MUSCLE_SYSTEM_PROCESS					GOBP_LOCOMOTION				GOBP_SKELETAL_SYSTEM_DEVELOPMENT				GOBP_CELL_ADHESION						GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION			GOBP_REGULATION_OF_LOCOMOTION									GOBP_HEART_DEVELOPMENT													GOBP_DEVELOPMENTAL_GROWTH
76905	Lrg1	leucine-rich alpha-2-glycoprotein 1 [Source:MGI Symbol;Acc:MGI:1924155]						GOCC_EXTRACELLULAR_SPACE			GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS			GOMF_SIGNALING_RECEPTOR_BINDING	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION						GOBP_MONOATOMIC_ION_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS					GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT			GOBP_CELL_MIGRATION	GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION			GOBP_CELL_MOTILITY	GOBP_REGULATION_OF_CELL_DIFFERENTIATION				GOBP_TRANSMEMBRANE_TRANSPORT					GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	GOBP_MONOATOMIC_CATION_TRANSPORT							GOBP_METAL_ION_TRANSPORT					GOBP_TUBE_DEVELOPMENT	GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT										GOBP_CELL_ADHESION		GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY		GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION							GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS										GOBP_EPITHELIAL_CELL_PROLIFERATION	GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY			GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX				
20354	Sema4d	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D [Source:MGI Symbol;Acc:MGI:109244]						GOCC_EXTRACELLULAR_SPACE			GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS			GOMF_SIGNALING_RECEPTOR_BINDING			GOBP_GENERATION_OF_NEURONS					GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS							GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY	GOBP_CELL_MIGRATION			GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION	GOCC_SYNAPTIC_MEMBRANE		GOBP_CELL_MOTILITY	GOBP_REGULATION_OF_CELL_DIFFERENTIATION		GOCC_PLASMA_MEMBRANE_REGION	GOBP_INTRACELLULAR_SIGNALING_CASSETTE						GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT			GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS			GOCC_POSTSYNAPTIC_MEMBRANE										GOBP_LOCOMOTION			GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	GOBP_SKELETAL_SYSTEM_DEVELOPMENT				GOBP_CELL_ADHESION	GOBP_NEURON_DEVELOPMENT	GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY							GOBP_REGULATION_OF_LOCOMOTION		GOCC_POSTSYNAPSE															GOCC_GABA_ERGIC_SYNAPSE		GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE			GOBP_DEVELOPMENTAL_GROWTH
16956	Lpl	lipoprotein lipase [Source:MGI Symbol;Acc:MGI:96820]						GOCC_EXTRACELLULAR_SPACE			GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS			GOMF_SIGNALING_RECEPTOR_BINDING								GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS									GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS						GOBP_REGULATION_OF_CELL_DIFFERENTIATION									GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION											GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS												GOCC_CELL_SURFACE																		GOBP_RESPONSE_TO_NITROGEN_COMPOUND															
